name,shape,rank,s1,s2,pr,alpha_hill,dmin_5pct,dmin_10pct,dmin_20pct,dmin_50pct
layer_0.q_proj,768,768,5.859257,5.525335,250.97,9.1749,606,526,412,195
layer_0.k_proj,768,768,5.555027,4.757193,116.42,4.1897,591,504,381,156
layer_0.v_proj,768,768,5.798674,5.221111,185.14,5.3901,619,543,431,201
layer_0.o_proj,768,768,5.078276,4.418859,83.0,4.0011,410,287,212,102
layer_0.up_proj,768,768,6.262445,5.646381,283.26,5.0264,742,704,611,335
layer_0.down_proj,768,768,6.194542,5.435533,229.41,3.796,750,713,622,343
layer_1.q_proj,768,768,5.605723,5.245683,189.75,8.0685,520,422,319,151
layer_1.k_proj,768,768,5.540344,5.007734,149.57,6.1023,549,456,340,146
layer_1.v_proj,768,768,5.887559,5.55889,259.53,15.4056,619,540,426,201
layer_1.o_proj,768,768,5.083398,3.713289,40.99,2.9401,575,481,352,130
layer_1.up_proj,768,768,6.248778,5.57454,263.63,4.4477,749,722,643,344
layer_1.down_proj,768,768,6.207767,5.26226,192.92,3.1609,745,717,645,368
layer_2.q_proj,768,768,5.708757,5.28646,197.64,6.9722,570,487,375,168
layer_2.k_proj,768,768,5.666134,5.026175,152.35,4.1072,590,508,392,174
layer_2.v_proj,768,768,5.935845,5.632952,279.49,20.1314,628,552,438,210
layer_2.o_proj,768,768,5.741975,5.052629,156.43,4.6938,601,518,402,188
layer_2.up_proj,768,768,6.207117,5.494263,243.29,5.1628,751,720,633,334
layer_2.down_proj,768,768,6.146009,4.940932,139.9,5.3609,749,715,629,336
layer_3.q_proj,768,768,5.836244,5.378377,216.67,6.3411,618,543,430,200
layer_3.k_proj,768,768,5.856019,5.35691,212.07,7.6069,623,550,439,209
layer_3.v_proj,768,768,5.848742,5.495347,243.56,15.4673,620,540,423,192
layer_3.o_proj,768,768,5.814034,5.276842,195.75,8.0214,607,526,413,193
layer_3.up_proj,768,768,6.282469,5.832327,341.15,7.243,747,714,626,335
layer_3.down_proj,768,768,6.07655,4.708757,110.91,5.4715,747,711,620,318
layer_4.q_proj,768,768,5.726736,5.279646,196.3,10.0698,604,523,402,172
layer_4.k_proj,768,768,5.812344,5.325895,205.59,8.9796,619,545,431,198
layer_4.v_proj,768,768,5.887611,5.563849,260.82,15.7746,620,540,425,200
layer_4.o_proj,768,768,5.780912,5.237955,188.28,8.096,592,513,401,187
layer_4.up_proj,768,768,6.254573,5.799093,330.0,7.1094,750,715,622,325
layer_4.down_proj,768,768,6.193282,5.333727,207.21,5.6095,752,720,629,326
layer_5.q_proj,768,768,5.780681,5.428068,227.71,15.1809,603,521,401,176
layer_5.k_proj,768,768,5.759324,5.404098,222.32,18.8638,590,508,394,173
layer_5.v_proj,768,768,5.815748,5.434695,229.22,11.5113,616,534,416,187
layer_5.o_proj,768,768,5.871174,5.407507,223.07,8.4723,615,538,427,205
layer_5.up_proj,768,768,6.259555,5.790968,327.33,6.8975,749,715,623,325
layer_5.down_proj,768,768,6.251408,5.668324,289.55,5.3577,750,718,630,332
layer_6.q_proj,768,768,5.808654,5.463817,236.0,10.3559,600,518,400,182
layer_6.k_proj,768,768,5.897595,5.575067,263.77,8.5146,611,535,422,202
layer_6.v_proj,768,768,5.798936,5.428586,227.83,13.6736,613,530,410,181
layer_6.o_proj,768,768,5.779849,5.341156,208.75,9.2159,600,517,400,182
layer_6.up_proj,768,768,6.267514,5.820562,337.16,7.2251,749,717,626,327
layer_6.down_proj,768,768,6.274137,5.733301,308.99,5.7679,749,718,631,337
layer_7.q_proj,768,768,5.762196,5.404699,222.45,12.7093,599,514,394,171
layer_7.k_proj,768,768,5.737166,5.373328,215.58,13.8236,590,504,385,168
layer_7.v_proj,768,768,5.960062,5.655422,285.84,16.2979,633,559,447,218
layer_7.o_proj,768,768,5.834075,5.310514,202.45,9.3155,613,533,419,198
layer_7.up_proj,768,768,6.275402,5.831545,340.89,7.5572,744,712,624,330
layer_7.down_proj,768,768,6.304441,5.856515,349.5,6.5667,747,718,633,343
layer_8.q_proj,768,768,5.7995,5.434922,229.28,10.4193,602,521,403,182
layer_8.k_proj,768,768,5.875849,5.52302,250.39,9.1896,614,537,424,200
layer_8.v_proj,768,768,6.018637,5.772204,321.25,30.0031,635,563,454,229
layer_8.o_proj,768,768,5.807057,5.217424,184.46,8.3437,606,524,409,192
layer_8.up_proj,768,768,6.299675,5.881438,358.32,7.6831,745,714,628,338
layer_8.down_proj,768,768,6.302946,5.906339,367.36,6.2316,748,716,628,337
layer_9.q_proj,768,768,5.802166,5.416935,225.19,11.7962,607,527,410,185
layer_9.k_proj,768,768,5.848338,5.484286,240.88,9.786,612,534,419,193
layer_9.v_proj,768,768,6.029606,5.8025,331.13,35.1461,634,561,452,229
layer_9.o_proj,768,768,5.958768,5.352601,211.16,7.4847,628,553,446,232
layer_9.up_proj,768,768,6.293569,5.871575,354.81,8.3693,744,711,624,335
layer_9.down_proj,768,768,6.328826,6.012196,408.38,7.6473,746,715,628,341
layer_10.q_proj,768,768,5.708852,5.257377,191.98,11.2978,601,518,398,171
layer_10.k_proj,768,768,5.682089,5.209247,182.96,10.6522,601,517,397,166
layer_10.v_proj,768,768,5.926398,5.65204,284.87,33.168,619,541,428,205
layer_10.o_proj,768,768,5.929265,4.685829,108.4,5.7661,644,578,479,259
layer_10.up_proj,768,768,6.279051,5.826284,339.1,8.1822,746,714,626,333
layer_10.down_proj,768,768,6.341969,5.973478,392.87,6.7488,748,718,635,351
layer_11.q_proj,768,768,5.706588,5.187242,178.97,7.6984,601,519,403,178
layer_11.k_proj,768,768,5.697711,5.195906,180.53,8.0259,601,518,399,172
layer_11.v_proj,768,768,5.963969,5.676852,292.03,35.397,638,565,452,214
layer_11.o_proj,768,768,5.158957,3.303458,27.21,2.3605,626,550,438,196
layer_11.up_proj,768,768,6.231703,5.635909,280.31,6.9007,749,715,625,325
layer_11.down_proj,768,768,6.298465,5.622211,276.5,5.0746,753,725,642,355
